LOCALIDADE;CEP INICIAL
ACRELÂNDIA;69945000
ASSIS BRASIL;69935000
BRASILÉIA;69932000
BUJARI;69926000
CAPIXABA;69931000
CRUZEIRO DO SUL;69980000
EPITACIOLÂNDIA;69934000
FEIJÓ;69960000
JORDÃO;69975000
MÂNCIO LIMA;69990000
MANOEL URBANO;69950000
MARECHAL THAUMATURGO;69983000
PLÁCIDO DE CASTRO;69928000
PORTO ACRE;69927000
PORTO WALTER;69982000
RIO BRANCO;69900001
RODRIGUES ALVES;69985000
SANTA ROSA DO PURUS;69955000
SENA MADUREIRA;69940000
SENADOR GUIOMARD;69925000
TARAUACÁ;69970000
XAPURI;69930000
ÁGUA BRANCA;57490000
ANADIA;57660000
ARAPIRACA;57300001
ATALAIA;57690000
BARRA DE SANTO ANTÔNIO;57925000
BARRA DE SÃO MIGUEL;57180000
BATALHA;57420000
BELÉM;57630000
BELO MONTE;57435000
BOCA DA MATA;57680000
BRANQUINHA;57830000
CACIMBINHAS;57570000
CAJUEIRO;57770000
CAMPESTRE;57968000
CAMPO ALEGRE;57250000
CAMPO GRANDE;57350000
CANAPI;57530000
CAPELA;57780000
CARNEIROS;57535000
CHÃ PRETA;57760000
COITÉ DO NÓIA;57325000
COLÔNIA LEOPOLDINA;57975000
COQUEIRO SECO;57140000
CORURIPE;57230000
CRAÍBAS;57320000
DELMIRO GOUVEIA;57480000
DOIS RIACHOS;57560000
ESTRELA DE ALAGOAS;57625000
FEIRA GRANDE;57340000
FELIZ DESERTO;57220000
FLEXEIRAS;57995000
GIRAU DO PONCIANO;57360000
IBATEGUARA;57890000
IGACI;57620000
IGREJA NOVA;57280000
INHAPI;57545000
JACARÉ DOS HOMENS;57430000
JACUÍPE;57960000
JAPARATINGA;57950000
JARAMATAIA;57425000
JEQUIÁ DA PRAIA;57244000
JOAQUIM GOMES;57980000
JUNDIÁ;57965000
JUNQUEIRO;57270000
LAGOA DA CANOA;57330000
LIMOEIRO DE ANADIA;57260000
MACEIÓ;57000001
MAJOR ISIDORO;57580000
MAR VERMELHO;57730000
MARAGOGI;57955000
MARAVILHA;57520000
MARECHAL DEODORO;57160000
MARIBONDO;57670000
MATA GRANDE;57540000
MATRIZ DE CAMARAGIBE;57910000
MESSIAS;57990000
MINADOR DO NEGRÃO;57615000
MONTEIRÓPOLIS;57440000
MURICI;57820000
NOVO LINO;57970000
OLHO D'ÁGUA DAS FLORES;57442000
OLHO D'ÁGUA DO CASADO;57470000
OLHO D'ÁGUA GRANDE;57390000
OLIVENÇA;57550000
OURO BRANCO;57525000
PALESTINA;57410000
PALMEIRA DOS ÍNDIOS;57600001
PÃO DE AÇÚCAR;57400000
PARICONHA;57475000
PARIPUEIRA;57935000
PASSO DE CAMARAGIBE;57930000
PAULO JACINTO;57740000
PENEDO;57200000
PIAÇABUÇU;57210000
PILAR;57150000
PINDOBA;57720000
PIRANHAS;57460000
POÇO DAS TRINCHEIRAS;57510000
PORTO CALVO;57900000
PORTO DE PEDRAS;57945000
PORTO REAL DO COLÉGIO;57290000
QUEBRANGULO;57750000
RIO LARGO;57100000
ROTEIRO;57246000
SANTA LUZIA DO NORTE;57130000
SANTANA DO IPANEMA;57500000
SANTANA DO MUNDAÚ;57840000
SÃO BRÁS;57380000
SÃO JOSÉ DA LAJE;57860000
SÃO JOSÉ DA TAPERA;57445000
SÃO LUÍS DO QUITUNDE;57920000
SÃO MIGUEL DOS CAMPOS;57240000
SÃO MIGUEL DOS MILAGRES;57940000
SÃO SEBASTIÃO;57275000
SATUBA;57120000
SENADOR RUI PALMEIRA;57515000
TANQUE D'ARCA;57635000
TAQUARANA;57640000
TEOTÔNIO VILELA;57265000
TRAIPU;57370000
UNIÃO DOS PALMARES;57800000
VIÇOSA;57700000
ALVARÃES;69540000
AMATURÁ;69620000
ANAMÃ;69445000
ANORI;69440000
APUÍ;69265000
ATALAIA DO NORTE;69650000
AUTAZES;69240000
BARCELOS;69700000
BARREIRINHA;69160000
BENJAMIN CONSTANT;69630000
BERURI;69430000
BOA VISTA DO RAMOS;69195000
BOCA DO ACRE;69850000
BORBA;69200000
CAAPIRANGA;69425000
CANUTAMA;69820000
CARAUARI;69500000
CAREIRO;69250000
CAREIRO DA VÁRZEA;69255000
COARI;69460000
CODAJÁS;69450000
EIRUNEPÉ;69880000
ENVIRA;69870000
FONTE BOA;69670000
GUAJARÁ;69895000
HUMAITÁ;69800000
IPIXUNA;69890000
IRANDUBA;69415000
ITACOATIARA;69100001
ITAMARATI;69510000
ITAPIRANGA;69120000
JAPURÁ;69495000
JURUÁ;69520000
JUTAÍ;69660000
LÁBREA;69830000
MANACAPURU;69400001
MANAQUIRI;69435000
MANAUS;69000001
MANICORÉ;69280000
MARAÃ;69490000
MAUÉS;69190000
NHAMUNDÁ;69140000
NOVA OLINDA DO NORTE;69230000
NOVO AIRÃO;69730000
NOVO ARIPUANÃ;69260000
PARINTINS;69150001
PAUINI;69860000
PRESIDENTE FIGUEIREDO;69735000
RIO PRETO DA EVA;69117000
SANTA ISABEL DO RIO NEGRO;69740000
SANTO ANTÔNIO DO IÇÁ;69680000
SÃO GABRIEL DA CACHOEIRA;69750000
SÃO PAULO DE OLIVENÇA;69600000
SÃO SEBASTIÃO DO UATUMÃ;69135000
SILVES;69114000
TABATINGA;69640000
TAPAUÁ;69480000
TEFÉ;69550001
TONANTINS;69685000
UARINI;69530000
URUCARÁ;69130000
URUCURITUBA;69180000
AMAPÁ;68950000
CALÇOENE;68960000
CUTIAS;68973000
FERREIRA GOMES;68915000
ITAUBAL;68976000
LARANJAL DO JARI;68920000
MACAPÁ;68900001
MAZAGÃO;68940000
OIAPOQUE;68980000
PEDRA BRANCA DO AMAPARÍ;68945000
PORTO GRANDE;68997000
PRACUÚBA;68918000
SANTANA;68925001
SERRA DO NAVIO;68948000
TARTARUGALZINHO;68990000
VITÓRIA DO JARI;68924000
ABAÍRA;46690000
ABARÉ;48680000
ACAJUTIBA;48360000
ADUSTINA;48435000
ÁGUA FRIA;48170000
AIQUARA;45220000
ALAGOINHAS;48000001
ALCOBAÇA;45910000
ALMADINA;45640000
AMARGOSA;45300000
AMÉLIA RODRIGUES;44230000
AMÉRICA DOURADA;44910000
ANAGÉ;45180000
ANDARAÍ;46830000
ANDORINHA;48990000
ANGICAL;47960000
ANGUERA;44670000
ANTAS;48420000
ANTÔNIO CARDOSO;44180000
ANTÔNIO GONÇALVES;44780000
APORÁ;48350000
APUAREMA;45355000
ARAÇÁS;48108000
ARACATU;46130000
ARACI;48760000
ARAMARI;48130000
ARATACA;45695000
ARATUÍPE;44490000
AURELINO LEAL;45675000
BAIANÓPOLIS;47830000
BAIXA GRANDE;44620000
BANZAÊ;48405000
BARRA;47100000
BARRA DA ESTIVA;46650000
BARRA DO CHOÇA;45120000
BARRA DO MENDES;44990000
BARRA DO ROCHA;45560000
BARREIRAS;47800001
BARRO ALTO;44895000
BARRO PRETO;45625000
BARROCAS;48705000
BELMONTE;45800000
BELO CAMPO;45160000
BIRITINGA;48780000
BOA NOVA;45250000
BOA VISTA DO TUPIM;46850000
BOM JESUS DA LAPA;47600000
BOM JESUS DA SERRA;45263000
BONINAL;46740000
BONITO;46820000
BOQUIRA;46530000
BOTUPORÃ;46570000
BREJÕES;45325000
BREJOLÂNDIA;47750000
BROTAS DE MACAÚBAS;47560000
BRUMADO;46100000
BUERAREMA;45615000
BURITIRAMA;47120000
CAATIBA;45130000
CABACEIRAS DO PARAGUAÇU;44345000
CACHOEIRA;44300000
CACULÉ;46300000
CAÉM;44730000
CAETANOS;45265000
CAETITÉ;46400000
CAFARNAUM;44880000
CAIRU;45420000
CALDEIRÃO GRANDE;44750000
CAMACAN;45880000
CAMAÇARI;42800001
CAMAMU;45445000
CAMPO ALEGRE DE LOURDES;47220000
CAMPO FORMOSO;44790000
CANÁPOLIS;47730000
CANARANA;44890000
CANAVIEIRAS;45860000
CANDEAL;48710000
CANDEIAS;43800001
CANDIBA;46380000
CÂNDIDO SALES;45157000
CANSANÇÃO;48840000
CANUDOS;48520000
CAPELA DO ALTO ALEGRE;44645000
CAPIM GROSSO;44695000
CARAÍBAS;45177000
CARAVELAS;45900000
CARDEAL DA SILVA;48390000
CARINHANHA;46445000
CASA NOVA;47300000
CASTRO ALVES;44500000
CATOLÂNDIA;47845000
CATU;48110000
CATURAMA;46575000
CENTRAL;44940000
CHORROCHÓ;48660000
CÍCERO DANTAS;48410000
CIPÓ;48450000
COARACI;45638000
COCOS;47680000
CONCEIÇÃO DA FEIRA;44320000
CONCEIÇÃO DO ALMEIDA;44540000
CONCEIÇÃO DO COITÉ;48730000
CONCEIÇÃO DO JACUÍPE;44245000
CONDE;48300000
CONDEÚBA;46200000
CONTENDAS DO SINCORÁ;46620000
CORAÇÃO DE MARIA;44250000
CORDEIROS;46280000
CORIBE;47690000
CORONEL JOÃO SÁ;48590000
CORRENTINA;47650000
COTEGIPE;47900000
CRAVOLÂNDIA;45330000
CRISÓPOLIS;48480000
CRISTÓPOLIS;47950000
CRUZ DAS ALMAS;44380000
CURAÇÁ;48930000
